bairro,racial,renda,valor
Anatólia,Parda,Mais de 1 a 2 SM,79
Anatólia,Parda,Mais de 2 a 3 SM,43
Anatólia,Parda,Mais de 3 a 5 SM,56
Anatólia,Parda,Mais de 5 a 10 SM,62
Anatólia,Parda,Mais de 10 SM,23
Anatólia,Parda,Sem rendimento,123
Anatólia,Parda,Total,453
Anatólia,Preta,Até 1/2 SM,2
Anatólia,Preta,Mais de 1/2 a 1 SM,9
Anatólia,Preta,Mais de 1 a 2 SM,8
Anatólia,Preta,Mais de 2 a 3 SM,1
Anatólia,Preta,Mais de 3 a 5 SM,8
Anatólia,Preta,Mais de 5 a 10 SM,4
Anatólia,Preta,Mais de 10 SM,1
Anatólia,Preta,Sem rendimento,8
Anatólia,Preta,Total,41
Anatólia,Indígena,Até 1/2 SM,0
Anatólia,Indígena,Mais de 1/2 a 1 SM,0
Anatólia,Indígena,Mais de 1 a 2 SM,0
Anatólia,Indígena,Mais de 2 a 3 SM,0
Anatólia,Indígena,Mais de 3 a 5 SM,0
Anatólia,Indígena,Mais de 5 a 10 SM,0
Anatólia,Indígena,Mais de 10 SM,0
Anatólia,Indígena,Sem rendimento,0
Anatólia,Indígena,Total,0
Anatólia,Amarela,Até 1/2 SM,0
Anatólia,Amarela,Mais de 1/2 a 1 SM,2
Anatólia,Amarela,Mais de 1 a 2 SM,0
Anatólia,Amarela,Mais de 2 a 3 SM,0
Anatólia,Amarela,Mais de 3 a 5 SM,0
Anatólia,Amarela,Mais de 5 a 10 SM,0
Anatólia,Amarela,Mais de 10 SM,1
Anatólia,Amarela,Sem rendimento,0
Anatólia,Amarela,Total,3
Anatólia,Total,Até 1/2 SM,21
Anatólia,Total,Mais de 1/2 a 1 SM,124
Anatólia,Total,Mais de 1 a 2 SM,183
Anatólia,Total,Mais de 2 a 3 SM,101
Anatólia,Total,Mais de 3 a 5 SM,139
Anatólia,Total,Mais de 5 a 10 SM,143
Anatólia,Total,Mais de 10 SM,50
Anatólia,Total,Sem rendimento,300
Anatólia,Total,Total,1061
Bancários,Branca,Até 1/2 SM,219
Bancários,Branca,Mais de 1/2 a 1 SM,731
Bancários,Branca,Mais de 1 a 2 SM,738
Bancários,Branca,Mais de 2 a 3 SM,398
Bancários,Branca,Mais de 3 a 5 SM,543
Bancários,Branca,Mais de 5 a 10 SM,570
Bancários,Branca,Mais de 10 SM,212
Bancários,Branca,Sem rendimento,1665
Bancários,Branca,Total,5076
Bancários,Parda,Até 1/2 SM,266
Bancários,Parda,Mais de 1/2 a 1 SM,783
Bancários,Parda,Mais de 1 a 2 SM,615
Bancários,Parda,Mais de 2 a 3 SM,339
Bancários,Parda,Mais de 3 a 5 SM,403
Bancários,Parda,Mais de 5 a 10 SM,397
Bancários,Parda,Mais de 10 SM,122
Bancários,Parda,Sem rendimento,1334
Bancários,Parda,Total,4259
Bancários,Preta,Até 1/2 SM,102
Bancários,Preta,Mais de 1/2 a 1 SM,201
Bancários,Preta,Mais de 1 a 2 SM,107
Bancários,Preta,Mais de 2 a 3 SM,55
Bancários,Preta,Mais de 3 a 5 SM,45
Bancários,Preta,Mais de 5 a 10 SM,39
Bancários,Preta,Mais de 10 SM,17
Bancários,Preta,Sem rendimento,241
Bancários,Preta,Total,807
Bancários,Indígena,Até 1/2 SM,5
Bancários,Indígena,Mais de 1/2 a 1 SM,4
Bancários,Indígena,Mais de 1 a 2 SM,1
Bancários,Indígena,Mais de 2 a 3 SM,1
Bancários,Indígena,Mais de 3 a 5 SM,3
Bancários,Indígena,Mais de 5 a 10 SM,2
Bancários,Indígena,Mais de 10 SM,0
Bancários,Indígena,Sem rendimento,5
Bancários,Indígena,Total,21
Bancários,Amarela,Até 1/2 SM,14
Bancários,Amarela,Mais de 1/2 a 1 SM,33
Bancários,Amarela,Mais de 1 a 2 SM,33
Bancários,Amarela,Mais de 2 a 3 SM,13
Bancários,Amarela,Mais de 3 a 5 SM,14
Bancários,Amarela,Mais de 5 a 10 SM,12
Bancários,Amarela,Mais de 10 SM,1
Bancários,Amarela,Sem rendimento,57
Bancários,Amarela,Total,177
Bancários,Total,Até 1/2 SM,606
Bancários,Total,Mais de 1/2 a 1 SM,1752
Bancários,Total,Mais de 1 a 2 SM,1494
Bancários,Total,Mais de 2 a 3 SM,806
Bancários,Total,Mais de 3 a 5 SM,1008
Bancários,Total,Mais de 5 a 10 SM,1020
Bancários,Total,Mais de 10 SM,352
Bancários,Total,Sem rendimento,3302
Bancários,Total,Total,10340
Barra de Gramame,Branca,Até 1/2 SM,19
Barra de Gramame,Branca,Mais de 1/2 a 1 SM,42
Barra de Gramame,Branca,Mais de 1 a 2 SM,9
Barra de Gramame,Branca,Mais de 2 a 3 SM,1
Barra de Gramame,Branca,Mais de 3 a 5 SM,4
Barra de Gramame,Branca,Mais de 5 a 10 SM,2
Barra de Gramame,Branca,Mais de 10 SM,0
Barra de Gramame,Branca,Sem rendimento,44
